ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58931.549389,20.824,0.737,17.0,12.0,23.9,c
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58931.648426,20.81,0.901,17.0,16.0,23.9,c
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58933.451483,20.723,0.764,19.0,14.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58933.4609,20.818,0.969,17.0,17.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58937.528803,20.896,0.768,16.0,12.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58943.432111,20.118,0.807,33.0,26.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58943.436909,20.367,0.828,26.0,21.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58943.449474,19.603,0.491,52.0,26.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58945.501407,20.289,0.859,28.0,24.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58945.50289,19.784,0.791,44.0,35.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58947.554683,19.811,0.949,43.0,41.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58947.566279,19.081,0.398,85.0,34.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58951.477367,19.406,0.523,63.0,33.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58951.492895,19.551,0.429,55.0,24.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58957.452011,20.255,0.502,29.0,14.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58957.465164,20.612,0.709,21.0,15.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58965.477561,21.003,0.846,14.0,12.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58965.480344,20.522,0.577,22.0,13.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58969.439511,20.872,0.946,16.0,15.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58975.441539,19.826,0.623,43.0,27.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58979.50246,19.73,0.454,47.0,21.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58979.543338,19.969,0.587,37.0,22.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58981.479114,20.319,0.657,27.0,18.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58981.521415,19.984,0.552,37.0,20.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58983.425071,20.806,0.556,17.0,10.0,23.9,c
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58983.443721,21.549,0.986,9.0,9.0,23.9,c
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58985.495502,19.636,0.288,51.0,15.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58989.437698,20.648,0.806,20.0,16.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58993.445813,20.309,0.672,27.0,18.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58993.463442,20.141,0.603,32.0,19.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58998.356447,20.802,0.831,17.0,14.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,58998.370392,16.76,0.838,718.0,602.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,59000.357049,20.818,0.742,17.0,13.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,59000.358897,20.616,0.721,21.0,15.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,59001.430353,20.286,0.689,28.0,19.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,59003.412704,19.899,0.514,40.0,20.0,23.9,o
241.84729,13.89271,0.033953,None,2020-06-29 05:08:43.996,59003.431138,19.951,0.517,38.0,20.0,23.9,o
