2021qvv 0.001825 187.01216916067148 9.802850000000003
filter g
59311.23491899995 21.841123064244865 0.970154009169878
59316.316620400175 21.372021588427003 0.5466058707768603
59316.356875000056 21.792155668580886 0.8401599535224749
59317.2504166998 21.736110640938495 0.82352167937748
59334.192013899796 22.06163118254358 0.9444573494234412
59344.25491899997 21.820940509694683 0.8379835280872094
59344.31024309993 21.583317965962372 0.5543789334321426
59358.25425929995 21.118823238669233 0.9047476585436647
59387.27915510023 18.03891266755035 0.10094019389361812
59387.28010419989 18.069358535179678 0.09953550104997311
59391.24733800022 14.789628079278385 0.004353301077107881
59392.21651619999 14.464187716119547 0.0029243039792223647
59392.25732639991 14.467439087965326 0.0034568322710525766
59393.26677080011 14.32220164149821 0.0032979133812319483
59396.249270800035 14.148428925535601 0.002834158428160158
59402.206122700125 15.057991320662792 0.004029046540849872
filter i
59311.269490700215 20.988021622598893 0.7835861308561699
59319.27546299994 17.229232485388444 0.17199191200623848
59386.23322919989 18.899918745877958 0.19109068641570856
59401.19375000009 14.019910971036861 0.003568043600431948
filter r
59290.37928240001 21.588645617567558 0.7421548711210839
59304.364131900016 19.759958823384373 0.5292180107063126
59308.424374999944 21.16847178529048 0.6100405812160561
59312.30695600016 21.886236198014995 0.8616598972891406
59317.332245400175 21.53416504225964 0.831048816124377
59363.340185199864 20.944812862501166 0.7946077448538701
59380.20820599981 19.949835307016112 0.859891607496136
59385.21373840002 21.139697941753546 0.9775087331381236
59387.19260419998 17.36116508217102 0.031840006303691076
59387.25021990016 17.326958286549655 0.035346731631382175
59391.262280100025 14.685961950789464 0.004143534938997591
59393.187384299934 14.126736459262933 0.0022644858951279124
59396.18781250017 13.732799788829508 0.0018749014181729052
59402.215405100025 14.047749371707466 0.0024363432426103065
59403.18706020014 14.085415902858825 0.002352199858072113
filter ATgr
59291.433083 18.908 0.204
59291.435828 15.445 0.007
59309.441594 20.106 0.477
59312.387536 19.995 0.493
59313.462591 20.468 0.812
59321.466 19.827 0.866
59321.502232 18.68 0.181
59338.464278 19.304 0.429
59338.468417 19.797 0.521
59342.366655 19.481 0.448
59342.37177 20.332 0.74
59342.396403 20.366 0.88
59343.331452 19.787 0.503
59343.351601 19.242 0.285
59346.359215 19.813 0.472
59346.368377 19.642 0.416
59347.35566 19.438 0.304
59347.405383 19.798 0.408
59350.406785 20.598 0.738
59350.411675 19.721 0.401
59350.4264 19.51 0.372
59368.348441 19.915 0.655
59377.309497 19.786 0.339
59394.336709 14.097 0.004
59394.343674 14.04 0.004
59394.362141 14.072 0.004
59394.369995 14.064 0.005
59403.267679 14.631 0.006
59403.270908 14.654 0.006
59403.276865 14.63 0.006
59403.287446 14.638 0.006
59425.252492 16.404 0.024
59425.258022 16.287 0.019
59425.261709 16.369 0.024
59425.273242 16.368 0.063
59429.243564 16.603 0.069
59429.24771 16.519 0.041
59429.253246 16.698 0.033
59429.265693 16.514 0.02
59433.240835 16.689 0.082
59433.24406 16.643 0.061
filter ATri
59297.386897 19.953 0.963
59303.443093 19.948 0.775
59305.381106 19.626 0.525
59305.382947 19.964 0.569
59306.399731 18.812 0.562
59319.407939 18.971 0.32
59326.332896 19.955 0.773
59331.445359 19.74 0.877
59334.412107 20.241 0.931
59336.428251 20.193 0.667
59336.441362 19.325 0.335
59352.34809 19.599 0.434
59359.326749 19.395 0.756
59359.34533 18.481 0.324
59364.312749 19.145 0.494
59364.333987 19.317 0.483
59367.333466 20.154 0.854
59385.340447 19.958 0.916
59386.324494 18.654 0.542
59386.328159 18.657 0.656
59386.368023 18.25 0.563
59388.256577 16.278 0.03
59388.260265 16.213 0.034
59388.26952 16.336 0.081
59388.272748 16.261 0.048
59388.277818 16.263 0.041
59388.288945 16.22 0.033
59389.27716 15.52 0.016
59389.297487 15.492 0.017
59390.267202 14.996 0.025
59390.270401 15.029 0.035
59390.276369 15.075 0.03
59390.288373 15.017 0.029
59393.289309 14.241 0.005
59393.29668 14.255 0.005
59393.303619 14.247 0.005
59393.317571 14.225 0.005
59397.281605 13.843 0.004
59397.285293 13.832 0.004
59397.291754 13.829 0.004
59397.309293 13.841 0.004
59400.256216 13.877 0.004
59400.259436 13.898 0.005
59400.265445 13.884 0.004
59400.276517 13.883 0.004
59416.261761 15.318 0.069
59416.265449 15.347 0.077
59416.270981 14.296 0.425
59416.281135 15.44 0.078
59418.265731 15.521 0.024
59418.269407 15.512 0.02
59418.275824 15.568 0.022
59418.290474 15.548 0.027
59426.249624 16.1 0.03
59426.252827 16.0 0.034
59426.26157 16.014 0.027
59426.272571 16.081 0.033
59427.253741 16.164 0.034
59427.257399 15.435 0.288
59427.262894 16.257 0.026
59431.244657 15.338 0.07
59431.247864 16.081 0.099
59431.253364 16.219 0.032
